Date,Sector,Person($),Male($),Female($)
11-May,Private,1277.70 ,1377.10 ,1084.70 
11-Nov,Private,1303.50 ,1398.70 ,1108.60 
12-May,Private,1321.90 ,1421.40 ,1123.50 
12-Nov,Private,1369.90 ,1471.00 ,1163.40 
13-May,Private,1396.60 ,1496.40 ,1184.90 
13-Nov,Private,1410.50 ,1510.00 ,1205.20 
14-May,Private,1426.00 ,1539.70 ,1200.50 
14-Nov,Private,1452.10 ,1570.20 ,1223.30 
15-May,Private,1454.60 ,1570.90 ,1235.80 
15-Nov,Private,1468.40 ,1579.40 ,1249.50 
16-May,Private,1483.30 ,1587.60 ,1277.10 
16-Nov,Private,1495.70 ,1602.10 ,1288.30 
17-May,Private,1503.90 ,1607.80 ,1298.00 
17-Nov,Private,1529.50 ,1634.30 ,1322.50 
18-May,Private,1544.10 ,1646.00 ,1343.30 
18-Nov,Private,1563.50 ,1663.80 ,1370.00 
19-May,Private,1594.70 ,1696.30 ,1401.50 
19-Nov,Private,1617.30 ,1718.20 ,1423.00 
20-May,Private,1673.60 ,1780.70 ,1469.10 
20-Nov,Private,1669.70 ,1770.30 ,1476.20 
21-May,Private,1699.10 ,1807.40 ,1490.50 
11-May,Public,1399.80 ,1493.50 ,1306.80 
11-Nov,Public,1426.90 ,1525.80 ,1329.20 
12-May,Public,1449.00 ,1552.60 ,1348.60 
12-Nov,Public,1491.70 ,1595.20 ,1389.80 
13-May,Public,1513.60 ,1621.90 ,1408.80 
13-Nov,Public,1538.70 ,1646.90 ,1432.30 
14-May,Public,1559.90 ,1666.50 ,1457.30 
14-Nov,Public,1570.80 ,1674.90 ,1469.00 
15-May,Public,1586.60 ,1691.50 ,1485.30 
15-Nov,Public,1619.50 ,1725.40 ,1518.30 
16-May,Public,1640.70 ,1749.00 ,1538.70 
16-Nov,Public,1674.00 ,1783.80 ,1571.10 
17-May,Public,1686.00 ,1784.70 ,1594.50 
17-Nov,Public,1721.50 ,1826.90 ,1625.50 
18-May,Public,1740.00 ,1839.90 ,1649.80 
18-Nov,Public,1766.20 ,1869.60 ,1672.30 
19-May,Public,1785.40 ,1891.50 ,1691.00 
19-Nov,Public,1812.20 ,1921.00 ,1715.00 
20-May,Public,1848.40 ,1958.30 ,1751.30 
20-Nov,Public,1863.70 ,1975.40 ,1763.70 
21-May,Public,1880.20 ,1993.30 ,1780.60 